Release Date,Season,Episode,Episode Title,Name,Sentence
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,I was born on Pike to Balon Greyjoy. His third and last-living son. I am your prince. I swear it by the drowned god. What is dead may never die.
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,I don't blame him.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,You are fading from sickness. You are badly outnumbered and you're hundreds of miles from the sea. Lord Bolton implores you to protect your men and abandon this fortress you can no longer hold. Do this and he will be just and fair with you as he is being with me. The Boltons will give you safe passage to the stony shore.
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,theon greyjoy,"Yara did. She made a pledge. We're going to find her, and we're going to set her free."
2016-05-22,Season 6,Episode 5,The Door,theon greyjoy,She is a warrior!
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,theon greyjoy,We're done with all that.
2011-05-22,Season 1,Episode 6,A Golden Crown,theon greyjoy,There's a thousand girls like you in King's Landing.
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,"I'm Theon Greyjoy, son of Balon, heir to the Iron Islands."
2014-04-13,Season 4,Episode 2,The Lion and the Rose,theon greyjoy,"I don't know, my lord."
2016-05-15,Season 6,Episode 4,Book of the Stranger,theon greyjoy,I'm sorry.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,He's not. He's dead. The Seven Kingdoms are at war. And Winterfell is mine.
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,I'm his only living son. He'll listen to me.
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,Father.
2017-08-27,Season 7,Episode 7,The Dragon and the Wolf,theon greyjoy,Not for me. For Yara!
2016-06-05,Season 6,Episode 7,The Broken Man,theon greyjoy,I don't want any.
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,"I'm not protecting anyone. I just wonder if it's not wiser to wait. Why risk going against the North if they would be our allies? Rise up against them and they could destroy us. But if we pledge fealty to them, they'll give us Casterly Rock."
2012-04-29,Season 2,Episode 5,The Ghost of Harrenhal,theon greyjoy,Why aren't you with the rest of them? Or did they send you to row me out and dump me halfway in the sea? That would be good for a laugh.
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,What is dead may never die!
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,I bet you can.
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"What do you want then, other than your miserable life?"
2019-04-28,Season 8,Episode 3,The Long Night,theon greyjoy,They lit the trench. Bran I just want you to know... I wish... The things I did
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,Try again.
2015-05-10,Season 5,Episode 5,Kill the Boy,theon greyjoy,She saw me.
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,Send more ravens.
