Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,Did we get him?,Information/Lore
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,But we're your brothers now.,Loyalty/Honour
2011-06-19,Season 1,Episode 10,Fire and Blood,sam tarly,Hear my words and bear witness to my vow,Loyalty/Honour
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,Nothing's killed me yet.,War/Violence
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,You offered me a ride!,Information/Lore
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,Are those girls?,Information/Lore
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,I haven't seen a girl in six months.,Information/Lore
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,That's foul.,Trivial
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,Hmm?,Trivial
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"Seems a bit greedy for one man to have so many wives. Wouldn't two, or three, be enough for him?",People
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,Nothing like the sight of a woman walking away.,People
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,I'm sure that's nice too.,Trivial
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,You were with her? How many times?,People
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,Wish I'd grew up on a farm.,Trivial
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"No. Ghost, no. No. Ghost, away. Shoo. Shoo! . You all right? Did he frighten you?",Orders/Demands
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"Oh, oh. Right. I'm sorry. I just wanted to make sure you weren't hurt. .",People
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"This is Gilly, she's one of Craster's daughters.",Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"She's pregnant. . We have to take her with us, when we leave.",Orders/Demands
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,I know it sounds a bit mad.,Trivial
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"The Lord Commander, , we are sworn to protect -",Loyalty/Honour
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,Why did you do that?,Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,You were cruel.,People
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,I didn't touch her!,People
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,"I can't steal her, she's a person not a goat.",Plans/Strategy/Advice
