Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"Not what you were expecting? Has anyone ever told you the story of the Mountain and the Hound? Lovely little tale of brotherly love. The Hound was just a pup, six years old maybe. Gregor a few years older, already a big lad, already getting a bit of a reputation. Some lucky boys just born with a talent for violence. One evening... Gregor found his little brother playing with a toy by the fire... Gregor's toy, a wooden knight. Gregor never said a word, he just grabbed his brother by the scruff of his neck and shoved his face into the burning coals. Held him there while the boy screamed, while his face melted. There aren't very many people who know that story.",War/Violence
2011-05-08,Season 1,Episode 4,"Cripples, Bastards and Broken Things",petyr baelish,"No, please don't. If the Hound so much as heard you mention it, I'm afraid all the knights in King's Landing would not be able to save you.",War/Violence
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,100 gold dragons on the Mountain.,Orders/Demands
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,Now what will I buy with 100 gold dragons? A dozen barrels of Dornish wine? Or a girl from the pleasure houses of Lys?,Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"And tell me, Lord Renly, when will you be having your friend?",Trivial
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Loras knew his mare was in heat. Quite crafty, really.",Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,No honor but quite a bit of gold.,Loyalty/Honour
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,You do move quietly.,Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,You look a bit lonely today. You should pay a visit to my brothel this evening. First boy is on the house.,Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Am I? All those birds that whisper in your ear, such pretty little things. Trust me, we accommodate all inclinations.",Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"I'm a purveyor of beauty and discretion, both equally important.",Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,All desires are valid to a man with a full purse.,Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Strictly speaking, such a thing would not be in accordance with the King's laws.",Politics
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Tell me. Does someone, somewhere, keep your balls in a little box? I've often wondered.",Trivial
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,Since you last saw me or since I last saw you?,People
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,Saw me with your own eyes?,Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,Council business. We all have so much to discuss with Ned Stark.,Politics
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,One shudders at the thought.,Politics
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,But you know something? I do believe that I have seen you even more recently than you have seen me.,Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Yes. Earlier today, I distinctly recall seeing you talking to Lord Stark in his chambers.",People
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"And not long after that when I saw you escorting a certain foreign dignitary... Council business? Of course you would have friends from across The Narrow Sea. You're from there yourself, after all. We're friends, aren't we, Lord Varys? I'd like to think we are. So you can imagine my burden, wondering if the King might question my friendo s sympathies… To stand at a crossroads where turning left means loyalty to a friend, turning right, loyalty to the realm.",Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,To find myself in a position where a simple word to the King --,Trivial
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,To a small council meeting?,Information/Lore
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"Jorah Mormont's a slaver, not a traitor. Small difference, I know, to an honorable man.",Loyalty/Honour
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"When you find yourself in bed with an ugly woman, best close your eyes, get it over with. Cut her throat. Be done with it.",Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"His Grace went on about you at some length after you took your leave. The word ""treason"" was mentioned.",Loyalty/Honour
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,When do you return to Winterfell?,Plans/Strategy/Advice
2011-05-15,Season 1,Episode 5,The Wolf and the Lion,petyr baelish,"If you're still here come nightfall, I'll take you to see the last person Jon Arryn spoke with before falling ill. If that sort of thing still interests you.",Information/Lore
