Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,Why did you do that?,Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,Looks smaller.,Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,They'll be waiting for me on the docks.,Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,"Anyone who matters, , this is a big day for them. They haven't had much to get excited about since I left. It's a hard place the Iron Islands always has been. It's cold and it's wet.",Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,"They say hard places breed hard men, , and hard men rule the world.",Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,I haven't paid you.,Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,Pears and oranges. Wine from the Arbor. And the heir to Pyke of the Iron Islands. . The only living son of Balon Greyjoy. . Me.,Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,I need to get to Pyke.,Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,You don't know what you're like. You need someone to teach you. Know who I am?,Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,Don't you worry about my hands. . The sea's in my blood.,Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,Gold.,Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,My blood is salt and iron.,Information/Lore
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,You're a woman!,Information/Lore
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,"Yes, I could sing this song to Lysa, if I cared to. What's in it for me?",Information/Lore
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,Harrenhal is cursed.,Information/Lore
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,petyr baelish,"So did Janos Slynt, and he was given Harrenhal, too. Until you snatched it away.",Information/Lore
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,sam tarly,Please. I want you to. My mother used it for sewing. She'd let me sit with her in her chamber while she sewed and I'd read to her. My father put a stop to it when he found out. It's the only thing I have of hers. She gave it to me before I left for the Wall.,Information/Lore
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,What are you doing here?,Information/Lore
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,Why didn't you tell me?,Information/Lore
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,And what's my role in all this?,Information/Lore
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,We do not sow.,Information/Lore
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,I would.,Information/Lore
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,What is dead may never die.,Information/Lore
