Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2012-04-01,Season 2,Episode 1,The North Remembers,petyr baelish,Yes.,Trivial
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,That's foul.,Trivial
2012-04-01,Season 2,Episode 1,The North Remembers,sam tarly,Hmm?,Trivial
2012-04-08,Season 2,Episode 2,The Night Lands,petyr baelish,"One moment, my friend. A moment.",Trivial
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,I'm sure that's nice too.,Trivial
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,Wish I'd grew up on a farm.,Trivial
2012-04-08,Season 2,Episode 2,The Night Lands,sam tarly,I know it sounds a bit mad.,Trivial
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,"Try smiling with your lips closed. . Hmm, better.",Trivial
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,I don't blame him.,Trivial
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,I bet you can.,Trivial
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,None like you.,Trivial
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,Father.,Trivial
2012-04-08,Season 2,Episode 2,The Night Lands,theon greyjoy,"If my clothes offend you, I will change them.",Trivial
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,You lying bitch.,Trivial
2012-04-15,Season 2,Episode 3,What Is Dead May Never Die,theon greyjoy,Father.,Trivial
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,I'm a practical man.,Trivial
2012-04-22,Season 2,Episode 4,Garden of Bones,petyr baelish,I would give priority to my head.,Trivial
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,Thank you.,Trivial
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,They have.,Trivial
2012-05-06,Season 2,Episode 6,The Old Gods and the New,petyr baelish,It's only wine.,Trivial
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"Any last words, old man?",Trivial
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,Like what?,Trivial
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,You know things? Like what? How to eat dirt?,Trivial
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,sam tarly,I'm not cut out for this sort of work.,Trivial
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,Envy isn't attractive.,Trivial
2012-05-20,Season 2,Episode 8,The Prince of Winterfell,theon greyjoy,Exactly.,Trivial
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,The first time I saw Winterfell-,Trivial
2012-06-03,Season 2,Episode 10,Valar Morghulis,theon greyjoy,You think they're right?,Trivial
2013-03-31,Season 3,Episode 1,Valar Dohaeris,petyr baelish,Lovely day for it. Watching the ships.,Trivial
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",theon greyjoy,What truth?,Trivial
2013-04-07,Season 3,Episode 2,"Dark Wings, Dark Words",theon greyjoy,What are you doing?,Trivial
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,"Thank you, my dear.",Trivial
2013-04-14,Season 3,Episode 3,Walk of Punishment,sam tarly,Ghost?,Trivial
2013-04-14,Season 3,Episode 3,Walk of Punishment,theon greyjoy,Come on. Come on. Come on. Come on. Come on.,Trivial
2013-04-14,Season 3,Episode 3,Walk of Punishment,theon greyjoy,Come on! Come on! Come on! Come on.,Trivial
2013-04-21,Season 3,Episode 4,And Now His Watch Is Ended,sam tarly,Are you going to give him one?,Trivial
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,That didn't take long.,Trivial
2013-05-05,Season 3,Episode 6,The Climb,petyr baelish,"Early days, my friend. It is flattering, really, you feeling such dread at the prospect of me getting what I want.",Trivial
2013-05-05,Season 3,Episode 6,The Climb,sam tarly,Huh. You know your fires.,Trivial
2013-05-05,Season 3,Episode 6,The Climb,sam tarly,"I'm not sure that it does anything. It's beautiful, though, isn't it?",Trivial
2013-05-05,Season 3,Episode 6,The Climb,sam tarly,"No. No, no, no. Not very well.",Trivial
2013-05-05,Season 3,Episode 6,The Climb,sam tarly,"Oh, all right. Let's see.",Trivial
2013-05-05,Season 3,Episode 6,The Climb,sam tarly,"Oh ahem. The father's face is stern and strong / He sits and judges right from wrong / He weighs our lives, the short and long / And loves the little children / The mother gives the gift of life / And watches over every wife / Her gentle smile ends all strife /And she loves her little children.",Trivial
2013-05-05,Season 3,Episode 6,The Climb,theon greyjoy,Wa-,Trivial
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,How hard can it be to build a fire?,Trivial
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,I suppose it's a rather philosophical difference between a wink and a blink.,Trivial
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,"Well, I mean, there's no real difference.",Trivial
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,What? No. This is just the way I talk.,Trivial
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,"Uh, yes. Maybe that's not-",Trivial
2013-05-19,Season 3,Episode 8,Second Sons,sam tarly,Please don't name him Randyll.,Trivial
2013-06-02,Season 3,Episode 9,The Rains of Castamere,sam tarly,Yes.,Trivial
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,"Well, I suppose someone had to be the first.",Trivial
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,I know how this must look. What I meant was-,Trivial
2013-06-09,Season 3,Episode 10,Mhysa,sam tarly,Miles better.,Trivial
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,She's not a whore.,Trivial
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,"Well, a wildling.",Trivial
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,"It's not a very nice word, I suppose.",Trivial
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,So... are you all right? No one bothering you?,Trivial
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,For what?,Trivial
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,"He's seen some adventures, hasn't he?",Trivial
2014-04-20,Season 4,Episode 3,Breaker of Chains,sam tarly,No other work.,Trivial
2014-05-04,Season 4,Episode 5,First of His Name,petyr baelish,Like it was yesterday.,Trivial
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,theon greyjoy,No!,Trivial
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,theon greyjoy,"No, you can't! You can't!",Trivial
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,theon greyjoy,But how can--,Trivial
2014-05-18,Season 4,Episode 7,Mockingbird,petyr baelish,"Yes, I saw.",Trivial
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,Always. Forever.,Trivial
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,Yes.,Trivial
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,scared* You don't know.,Trivial
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,whispering* Reek. Reek.,Trivial
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,You were?,Trivial
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Yes!,Trivial
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Did you get one?,Trivial
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,Yeah?,Trivial
2014-06-08,Season 4,Episode 9,The Watchers on the Wall,sam tarly,If you keep missing we will.,Trivial
2015-04-19,Season 5,Episode 2,The House of Black and White,petyr baelish,An old saying. Inaccurate in this case.,Trivial
2015-04-19,Season 5,Episode 2,The House of Black and White,petyr baelish,Do you like the taste?,Trivial
2015-04-26,Season 5,Episode 3,High Sparrow,petyr baelish,Home.,Trivial
2015-04-26,Season 5,Episode 3,High Sparrow,petyr baelish,No.,Trivial
2015-04-26,Season 5,Episode 3,High Sparrow,petyr baelish,For now.,Trivial
2015-05-10,Season 5,Episode 5,Kill the Boy,sam tarly,Well -,Trivial
2015-05-10,Season 5,Episode 5,Kill the Boy,theon greyjoy,I'm sorry.,Trivial
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",sam tarly,PLACE - LATER,Trivial
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,"Oh, and…",Trivial
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,You don't know that.,Trivial
2015-05-24,Season 5,Episode 7,The Gift,sam tarly,Oh. Oh my.,Trivial
2015-05-31,Season 5,Episode 8,Hardhome,sam tarly,No.,Trivial
2015-05-31,Season 5,Episode 8,Hardhome,sam tarly,You know what I mean.,Trivial
2015-05-31,Season 5,Episode 8,Hardhome,sam tarly,Me too.,Trivial
2015-05-31,Season 5,Episode 8,Hardhome,sam tarly,Come in.,Trivial
2015-05-31,Season 5,Episode 8,Hardhome,sam tarly,Yes?,Trivial
2015-06-14,Season 5,Episode 10,Mother’s Mercy,sam tarly,So what are you gonna do?,Trivial
2015-06-14,Season 5,Episode 10,Mother’s Mercy,sam tarly,Thank you.,Trivial
2015-06-14,Season 5,Episode 10,Mother’s Mercy,sam tarly,What?,Trivial
2016-05-08,Season 6,Episode 3,Oathbreaker,sam tarly,I don't think so,Trivial
2016-05-08,Season 6,Episode 3,Oathbreaker,sam tarly,"Yeah, they do",Trivial
2016-05-15,Season 6,Episode 4,Book of the Stranger,theon greyjoy,approaches Pyke Castle by boat.,Trivial
2016-05-15,Season 6,Episode 4,Book of the Stranger,theon greyjoy,I'm sorry.,Trivial
2016-05-22,Season 6,Episode 5,The Door,petyr baelish,I can't begin to contemplate --,Trivial
2016-05-22,Season 6,Episode 5,The Door,petyr baelish,I didn't know.,Trivial
2016-05-29,Season 6,Episode 6,Blood of My Blood,sam tarly,Oh.,Trivial
