Release Date,Season,Episode,Episode Title,Name,Sentence,Unique Coding
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"Ser Rodrik, it grieves me that we meet as foes.",Politics
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"Among them, but not one of them. I was his hostage, taken from my home.",Politics
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"You've served this house faithfully, old man. But keep talking and I'll-",Politics
2012-05-06,Season 2,Episode 6,The Old Gods and the New,theon greyjoy,"I'm a prince now, and you'd do well-",Politics
2012-05-13,Season 2,Episode 7,A Man Without Honor,theon greyjoy,"If there are any who still question whether your new lord means what he says, here is the answer to your question.",Politics
2012-06-03,Season 2,Episode 10,Valar Morghulis,petyr baelish,My lady. My sincerest condolences.,Politics
2013-03-31,Season 3,Episode 1,Valar Dohaeris,petyr baelish,You said King's Landing was your home. You are the property of the crown. Stealing you would be treason. If you were to tell just one person ...,Politics
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,Titles do seem to breed titles.,Politics
2013-04-14,Season 3,Episode 3,Walk of Punishment,petyr baelish,I know. But how would the queen get that idea?,Politics
2013-04-14,Season 3,Episode 3,Walk of Punishment,theon greyjoy,I'll make you a Lord of the Iron Islands for this.,Politics
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,Your Grace.,Politics
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,"Of course, Your Grace.",Politics
2013-04-28,Season 3,Episode 5,Kissed by Fire,petyr baelish,I see. And have you shared these suspicions with Lord Tywin?,Politics
2013-05-05,Season 3,Episode 6,The Climb,petyr baelish,The realm? Do you know what the realm is? It's the thousand blades of Aegon's enemies. A story we agree to tell each other over and over till we forget that it's a lie.,Politics
2013-05-05,Season 3,Episode 6,The Climb,theon greyjoy,He was your brother. Your father is Lord Rickard Karstark.,Politics
2014-04-13,Season 4,Episode 2,The Lion and the Rose,theon greyjoy,"A fine shot, master. My lady.",Politics
2014-04-13,Season 4,Episode 2,The Lion and the Rose,theon greyjoy,"I'm sorry, my lord.",Politics
2014-04-27,Season 4,Episode 4,Oathkeeper,petyr baelish,Did I kill Joffrey? I've been in the Vale for weeks.,Politics
2014-05-04,Season 4,Episode 5,First of His Name,petyr baelish,My lord.,Politics
2014-05-11,Season 4,Episode 6,The Laws of Gods and Men,theon greyjoy,"Yes, of course, my lord.",Politics
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,I was born on Pike to Balon Greyjoy. His third and last-living son. I am your prince. I swear it by the drowned god. What is dead may never die.,Politics
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,Lord Bolton took me captive after Winterfell. He sent me to treat with you in good faith as your fellow Ironborn.,Politics
2014-06-01,Season 4,Episode 8,The Mountain and the Viper,theon greyjoy,"My own father, your king, surrendered years ago to Robert Baratheon. I watched him bend the knee. There was no shame there. He fought with honor, as did you.",Politics
2015-04-12,Season 5,Episode 1,The Wars to Come,petyr baelish,"Lord Royce may be as honorable as he thinks he is, but he's not alone in that castle. Do you trust all those knights and ladies, stable boys and serving girls?",Politics
2015-04-12,Season 5,Episode 1,The Wars to Come,sam tarly,If Ser Alliser is chosen as the new Lord Commander… he hates the wildlings.,Politics
2015-04-12,Season 5,Episode 1,The Wars to Come,sam tarly,All the wildlings.,Politics
2015-04-12,Season 5,Episode 1,The Wars to Come,sam tarly,"It's not a sure thing. Ser Denys Mallister has commanded the Shadow Tower for 20 years, and people say he's a good man. He's running against Ser Alliser--",Politics
2015-04-19,Season 5,Episode 2,The House of Black and White,sam tarly,"Hmm! Did you know that the youngest Lord Commander in history, Osric Stark, was elected at the age of 10?",Politics
2015-04-19,Season 5,Episode 2,The House of Black and White,sam tarly,Your Grace.,Politics
2015-04-19,Season 5,Episode 2,The House of Black and White,sam tarly,But you'd be Lord of Winterfell.,Politics
2015-04-26,Season 5,Episode 3,High Sparrow,petyr baelish,"You're not marrying Roose Bolton. No, you'll be marrying his son and heir, Ramsay. One day he'll be Warden of the North and you will -",Politics
2015-04-26,Season 5,Episode 3,High Sparrow,petyr baelish,"The Lannister name doesn't mean what it once did. Tywin is dead. He kept his house in power through sheer will. Without him, Jaime has one hand and no allies, Tommen is a soft boy, not a king to fear.",Politics
2015-04-26,Season 5,Episode 3,High Sparrow,petyr baelish,"Queen Margaery adores Sansa. Cersei is Queen Mother, a title whose importance wanes with each passing day.",Politics
2015-05-10,Season 5,Episode 5,Kill the Boy,sam tarly,"Ah, Your Grace.",Politics
2015-05-10,Season 5,Episode 5,Kill the Boy,sam tarly,"I am, Your Grace.",Politics
2015-05-10,Season 5,Episode 5,Kill the Boy,sam tarly,"I did, Your Grace.",Politics
2015-05-10,Season 5,Episode 5,Kill the Boy,sam tarly,"I've seen it, Your Grace.",Politics
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,I'm here on urgent business for the Queen Mother. Should I send word that I'll be delayed?,Politics
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,"Do you think it's wise, your Grace, arresting the heir to Highgarden?",Politics
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,Young Lord Robyn heeds my advice. And I have always counseled loyalty to the throne.,Politics
2015-05-17,Season 5,Episode 6,"Unbowed, Unbent, Unbroken",petyr baelish,Marrying his son to the last of the Starks gives him more legitimacy in the North than an alliance with a hated southern house.,Politics
